joint,mean_acc_mps2,peak_acc_mps2,rms_acc_mps2,max_jerk_mps3,comfort_index,rms_acc_wk_weighted,noise_flag_acc_gt_50,discomfort_frames_jerk_gt_5
hip,0.30875247800619543,3.189097488780093,0.4574506810363752,72.08252798227647,0.13577585313648313,4.400115360500598,False,1523
knee,1.162506475704076,8.811344519370586,1.6526552771247702,192.69672689610206,0.03883767161139726,20.816340798851208,False,3168
ankle,1.9629923697943217,15.441799276808714,2.7170407306020503,374.57515684344656,0.022969686957434864,36.89029028907719,False,3403
shoulder,1.0771242561673726,17.175370232673874,1.6997725597502984,312.5735638645105,0.041501021198517174,23.325848354601526,False,3035
elbow,1.2322210520946615,16.866425339821905,1.8615461195475196,273.046423630322,0.0367506912404977,22.742040276052318,False,3167
wrist,2.005386899095242,23.69992856818664,3.0356426079659737,382.3229903784992,0.023021218671088223,36.87002550209953,False,3386
head,1.48365415494253,18.324705990201807,2.188744281132586,406.39689088969834,0.030338708374505984,30.42718224275143,False,3226
